Symbol,Name,1H Cloud Score,1D Cloud Score,1W Cloud Score,1M Cloud Score,Cloud Score Sum,1H TKx Score,1D TKx Score,1W TKx Score,1M TKx Score,TKx Score Sum,Total Score Sum
AAPL,Apple,33,42,11,238,324,54,45,4,14,117,441
MSFT,Microsoft,33,37,67,151,288,24,17,36,12,89,377
GS,Goldman Sachs,32,162,35,44,273,33,6,29,5,73,346
WMT,Walmart,16,36,70,82,204,17,39,22,16,94,298
AMZN,Amazon,77,25,56,8,166,24,15,64,7,110,276
AXP,American Express,34,0,35,86,155,38,5,29,7,79,234
JPM,JPMorgan Chase,49,42,61,22,174,-8,7,29,13,41,215
V,Visa,-2,-10,79,119,186,19,-2,-3,13,27,213
MRK,Merck,-39,-2,28,146,133,-8,-1,28,34,53,186
CAT,Caterpillar,-10,-28,90,48,100,7,1,28,44,80,180
IBM,IBM,32,0,51,14,97,33,14,-7,40,80,177
KO,Coca-Cola,-6,55,16,49,114,-1,19,29,1,48,162
PG,Procter & Gamble,0,5,27,74,106,13,-2,24,13,48,154
HD,Home Depot,-61,0,35,164,138,7,-2,-7,5,3,141
UNH,UnitedHealth Group,-8,0,-2,163,153,-21,4,4,-6,-19,134
MCD,McDonald's,-37,-81,-8,229,103,7,-33,-11,44,7,110
AMGN,Amgen,-21,45,44,13,81,7,8,3,10,28,109
HON,Honeywell,-19,27,10,9,27,7,41,6,2,56,83
CRM,Salesforce,0,0,59,9,68,-2,5,-7,8,4,72
TRV,Travelers,0,-25,34,44,53,7,-29,-3,43,18,71
MMM,3M,-18,81,13,-36,40,7,12,28,-27,20,60
INTC,Intel,22,0,-12,-28,-18,40,6,-14,6,38,20
BA,Boeing,5,8,-15,-7,-9,9,2,-19,13,5,-4
CVX,Chevron,-16,-9,0,31,6,-24,-3,15,-5,-17,-11
VZ,Verizon,4,7,26,-29,8,7,6,-5,-34,-26,-18
JNJ,Johnson & Johnson,-8,-31,-25,-2,-66,6,-1,-13,-18,-26,-92
CSCO,Cisco,-16,-36,-14,-4,-70,-20,6,-35,12,-37,-107
NKE,Nike,-49,-6,-28,-12,-95,-56,-1,-21,-24,-102,-197
DIS,Disney,-38,-43,0,-28,-109,-52,-58,-1,-27,-138,-247
