Symbol,Name,1H Cloud Score,1D Cloud Score,1W Cloud Score,1M Cloud Score,Cloud Score Sum,1H TKx Score,1D TKx Score,1W TKx Score,1M TKx Score,TKx Score Sum,Total Score Sum
COST,Costco,17,45,59,165,286,22,46,59,170,297,583
CTAS,Cintas,10,27,90,152,279,14,16,100,174,304,583
SNPS,Synopsys,23,23,88,167,301,24,15,79,151,269,570
GOOGL,Alphabet Inc. (Class A),75,78,62,162,377,20,78,70,8,176,553
GOOG,Alphabet Inc. (Class C),75,78,62,162,377,20,78,70,8,176,553
CDNS,Cadence Design Systems,15,19,79,128,241,24,17,78,167,286,527
VRTX,Vertex Pharmaceuticals,9,39,124,91,263,9,42,136,24,211,474
INTU,Intuit,117,9,53,178,357,-2,8,73,7,86,443
AAPL,Apple Inc.,33,42,11,238,324,54,45,4,14,117,441
KLAC,KLA Corporation,22,45,70,154,291,26,46,55,13,140,431
AMAT,Applied Materials,22,38,61,131,252,26,44,83,12,165,417
AVGO,Broadcom Inc.,11,39,80,102,232,40,38,83,13,174,406
TMUS,T-Mobile US,33,35,37,124,229,41,54,39,22,156,385
CPRT,Copart,7,0,77,163,247,17,14,87,15,133,380
MSFT,Microsoft,33,37,67,151,288,24,17,36,12,89,377
ASML,ASML Holding,23,23,37,167,250,47,36,29,12,124,374
NVDA,Nvidia,2,40,70,121,233,18,2,83,13,116,349
LRCX,Lam Research,23,23,65,139,250,18,37,28,13,96,346
ORLY,O'Reilly Automotive,-33,0,106,186,259,-2,15,-6,76,83,342
ADI,Analog Devices,9,52,35,164,260,17,-7,28,13,51,311
BKNG,Booking Holdings,6,42,79,22,149,9,37,83,13,142,291
ROP,Roper Technologies,-10,23,68,169,250,-21,35,2,13,29,279
AMZN,Amazon,77,25,56,8,166,24,15,64,7,110,276
LIN,Linde plc,-2,0,88,88,174,9,-2,-5,92,94,268
REGN,Regeneron,-26,40,53,53,120,7,41,46,50,144,264
META,Meta Platforms,16,25,64,16,121,16,35,76,10,137,258
VRSK,Verisk,26,44,11,100,181,21,39,2,14,76,257
FANG,Diamondback Energy,81,6,52,34,173,-7,6,22,37,58,231
NXPI,NXP Semiconductors,25,49,58,50,182,18,-9,28,12,49,231
MU,Micron Technology,0,95,46,9,150,-7,-4,72,7,68,218
NFLX,Netflix,18,35,59,7,119,19,38,30,7,94,213
AZN,AstraZeneca,-47,78,12,77,120,1,-5,13,83,92,212
AMD,Advanced Micro Devices Inc.,23,3,60,97,183,21,3,-9,8,23,206
PANW,Palo Alto Networks,0,19,73,67,159,-7,17,-12,44,42,201
ROST,Ross Stores,2,25,87,22,136,9,35,2,15,61,197
TTD,The Trade Desk,25,53,12,6,96,22,45,22,7,96,192
ISRG,Intuitive Surgical,13,37,37,9,96,7,39,27,13,86,182
ADBE,Adobe Inc.,105,13,0,2,120,47,16,-15,7,55,175
ODFL,Old Dominion Freight Line,40,-52,-8,174,154,-6,7,-5,19,15,169
MCHP,Microchip Technology,28,0,20,52,100,40,-20,28,14,62,162
CCEP,Coca-Cola Europacific Partners,-6,51,32,22,99,11,-1,30,14,54,153
TXN,Texas Instruments,26,52,12,5,95,26,3,25,1,55,150
TSLA,"Tesla, Inc.",61,18,2,0,81,68,10,2,-20,60,141
QCOM,Qualcomm,4,46,33,8,91,19,-5,29,4,47,138
MRVL,Marvell Technology,23,6,37,15,81,27,1,-2,5,31,112
AMGN,Amgen,-21,45,44,13,81,7,8,3,10,28,109
MAR,Marriott International,-33,0,66,42,75,9,15,-4,13,33,108
EA,Electronic Arts,3,24,37,9,73,4,32,-11,8,33,106
ADSK,Autodesk,0,11,6,0,17,55,32,-11,6,82,99
MELI,MercadoLibre,15,3,68,9,95,10,-20,3,9,2,97
ANSS,Ansys,22,0,30,2,54,24,5,-5,10,34,88
MNST,Monster Beverage,0,-64,-8,167,95,7,-30,-9,20,-12,83
HON,Honeywell,-19,27,10,9,27,7,41,6,2,56,83
PEP,PepsiCo,-39,-21,-5,161,96,-1,-26,17,-6,-16,80
CSX,CSX Corporation,-2,-67,37,101,69,-15,6,-9,7,-11,58
MDLZ,Mondelēz International,-2,-29,-5,67,31,-1,-29,-13,66,23,54
ON,Onsemi,26,5,-27,50,54,42,-9,-38,-2,-7,47
ADP,ADP,-54,-9,24,166,127,-54,-16,-2,-11,-83,44
CDW,CDW Corporation,-60,-10,55,56,41,-31,-6,-6,44,1,42
PAYX,Paychex,-54,-9,-1,137,73,-24,-2,6,-15,-35,38
BKR,Baker Hughes,0,13,3,9,25,-19,6,10,13,10,35
PCAR,Paccar,-62,-48,91,52,33,2,-13,-3,16,2,35
TEAM,Atlassian,72,0,-1,-10,61,-1,4,-15,-25,-37,24
FTNT,Fortinet,46,-51,0,99,94,-7,-57,-5,-4,-73,21
INTC,Intel,22,0,-12,-28,-18,40,6,-14,6,38,20
WDAY,"Workday, Inc.",82,-75,-1,1,7,-1,4,-11,9,1,8
FAST,Fastenal,-46,-58,63,83,42,14,-61,-6,10,-43,-1
GILD,Gilead Sciences,-5,0,-23,-1,-29,1,13,-17,22,19,-10
AEP,American Electric Power,-5,0,12,0,7,-10,-23,29,-14,-18,-11
CTSH,Cognizant,-9,-4,0,0,-13,-8,6,-10,3,-9,-22
BIIB,Biogen,-18,27,-27,-14,-32,-22,19,1,-5,-7,-39
CHTR,Charter Communications,-7,26,-24,-23,-28,-7,41,-29,-26,-21,-49
MDB,MongoDB Inc.,0,-31,-7,-3,-41,-6,1,-13,6,-12,-53
DXCM,DexCom,-9,-27,20,0,-16,7,-54,-5,7,-45,-61
IDXX,Idexx Laboratories,-39,-11,0,0,-50,9,-24,-9,5,-19,-69
