Symbol,Name,1H Cloud Score,1D Cloud Score,1W Cloud Score,1M Cloud Score,Cloud Score Sum,1H TKx Score,1D TKx Score,1W TKx Score,1M TKx Score,TKx Score Sum,Total Score Sum
XLK,Technology,27,38,68,166,299,25,39,76,13,153,452
XLY,Consumer Discretionary,153,23,37,167,380,27,17,3,5,52,432
XLV,Health Care,-34,3,33,164,166,7,40,29,7,83,249
XLF,Financials,28,1,37,45,111,37,6,29,6,78,189
XLP,Consumer Staples,7,3,21,67,98,16,-5,27,1,39,137
XLB,Materials,-4,-17,35,51,65,13,-20,29,12,34,99
XLI,Industrials,-38,-17,37,49,31,8,-2,29,13,48,79
XLE,Energy,-16,-25,25,31,15,-18,-1,17,36,34,49
XLU,Utilities,3,0,13,5,21,20,-17,29,-14,18,39
XLRE,Real Estate,3,8,10,-4,17,21,-1,-9,-22,-11,6
