Symbol,Name,1H Cloud Score,1D Cloud Score,1W Cloud Score,1M Cloud Score,Cloud Score Sum,1H TKx Score,1D TKx Score,1W TKx Score,1M TKx Score,TKx Score Sum,Total Score Sum
LLY,Eli Lilly and Company,17,37,193,144,391,18,42,63,83,206,597
CTAS,Cintas,11,27,90,152,280,15,16,100,174,305,585
COST,Costco,18,45,59,165,287,23,46,59,170,298,585
FICO,Fair Isaac,118,41,88,153,400,25,14,101,18,158,558
GOOG,Alphabet Inc. (Class C),76,78,62,162,378,21,78,70,8,177,555
GOOGL,Alphabet Inc. (Class A),76,78,62,162,378,21,78,70,8,177,555
SNPS,Synopsys,24,23,88,167,302,-1,15,79,151,244,546
MSI,Motorola Solutions,11,45,90,138,284,8,37,32,172,249,533
BSX,Boston Scientific,-32,163,87,131,349,-25,72,91,44,182,531
CDNS,Cadence Design Systems,16,19,79,128,242,25,17,78,167,287,529
TRGP,Targa Resources,154,104,69,31,358,40,36,54,40,170,528
MMC,Marsh McLennan,14,27,68,154,263,18,40,21,164,243,506
TT,Trane Technologies,7,171,88,151,417,14,-4,50,16,76,493
VRTX,Vertex Pharmaceuticals,10,39,124,91,264,10,42,136,24,212,476
TJX,TJX Companies,15,32,90,184,321,20,41,60,21,142,463
AJG,Arthur J. Gallagher & Co.,28,40,108,101,277,21,42,19,94,176,453
ROL,"Rollins, Inc.",20,45,21,271,357,20,24,29,22,95,452
INTU,Intuit,118,9,53,178,358,-3,8,73,7,85,443
AAPL,Apple Inc.,34,42,11,238,325,55,45,4,14,118,443
RSG,Republic Services,12,15,66,145,238,12,17,36,137,202,440
KLAC,KLA Corporation,23,45,70,154,292,27,46,55,13,141,433
PGR,Progressive Corporation,11,5,48,150,214,10,-18,43,176,211,425
ANET,Arista Networks,48,42,77,44,211,52,18,96,43,209,420
AMAT,Applied Materials,23,38,61,131,253,27,44,83,12,166,419
AVGO,Broadcom Inc.,12,39,80,102,233,41,38,83,13,175,408
IRM,Iron Mountain,50,38,68,42,198,48,44,60,43,195,393
APH,Amphenol,3,164,88,52,307,11,1,55,14,81,388
TMUS,T-Mobile US,34,35,37,124,230,42,54,39,22,157,387
CPRT,Copart,8,0,77,163,248,18,14,87,15,134,382
MCO,Moody's Corporation,27,43,59,142,271,34,37,28,10,109,380
MSFT,Microsoft,34,37,67,151,289,25,17,36,12,90,379
WM,Waste Management,-5,4,38,152,189,8,8,32,139,187,376
GDDY,GoDaddy,62,170,37,9,278,25,4,48,9,86,364
MPWR,Monolithic Power Systems,21,46,37,144,248,25,45,28,13,111,359
ORCL,Oracle Corporation,34,24,21,185,264,45,17,18,14,94,358
NVDA,Nvidia,3,40,70,121,234,19,2,83,13,117,351
LRCX,Lam Research,24,23,65,139,251,19,37,28,13,97,348
GS,Goldman Sachs,33,162,35,44,274,34,6,29,5,74,348
SPGI,S&P Global,80,26,37,146,289,27,17,2,8,54,343
PWR,Quanta Services,0,-7,209,52,254,12,-12,28,59,87,341
ORLY,O'Reilly Auto Parts,-34,0,106,186,258,-3,15,-6,76,82,340
BRO,Brown & Brown,0,40,59,148,247,18,-1,61,13,91,338
MCK,McKesson Corporation,0,55,69,41,165,10,47,61,54,172,337
AFL,Aflac,0,44,90,45,179,-1,47,58,42,146,325
ADI,Analog Devices,10,52,35,164,261,18,-7,28,13,52,313
NTAP,NetApp,50,51,53,41,195,7,44,59,6,116,311
PTC,PTC,-3,-1,79,169,244,46,7,-6,13,60,304
WMT,Walmart,18,36,70,82,206,19,39,22,16,96,302
BKNG,Booking Holdings,7,42,79,22,150,10,37,83,13,143,293
WDC,Western Digital,10,164,35,5,214,27,-5,52,5,79,293
